State,Notes,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location
Kansas,,396207,,,,2017,9,2016,12,"Kansas
(38.345528, -98.201847)"
New Mexico,,876721,259537,259537,,2017,9,2016,12,"New Mexico
(34.520396, -106.244402)"
New Jersey,,1650582,546662,546662,,2017,9,2016,12,"New Jersey
(40.104655, -74.386686)"
Maine,,260705,,,,2017,9,2016,12,"Maine
(45.252223, -68.986647)"
Florida,,3917037,,,,2017,9,2016,12,"Florida
(28.915325, -81.922409)"
Wyoming,,62411,,,,2017,9,2016,12,"Wyoming
(43.23558, -108.110518)"
Indiana,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015",1409872,424966,278610,146356,2017,9,2016,12,"Indiana
(39.76845, -86.156212)"
New Hampshire,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014",190864,56228,56013,215,2017,9,2016,12,"New Hampshire
(43.657736, -71.500736)"
South Carolina,,1199339,,,,2017,9,2016,12,"South Carolina
(34.009286, -81.037094)"
Connecticut,,896525,223612,209700,13912,2017,9,2016,12,"Connecticut
(41.544654, -72.651713)"
New York,,6071555,1836637,277769,1558868,2017,9,2016,12,"New York
(42.826892, -75.544286)"
Idaho,,319981,,,,2017,9,2016,12,"Idaho
(43.680635, -114.364237)"
North Carolina,,2030401,,,,2017,9,2016,12,"North Carolina
(35.47995, -79.180571)"
Maryland,,1183022,291044,291044,,2017,9,2016,12,"Maryland
(39.290443, -76.612333)"
Georgia,,1861721,,,,2017,9,2016,12,"Georgia
(32.836038, -83.631709)"
Ohio,,2975112,686949,633949,53000,2017,9,2016,12,"Ohio
(40.056807, -82.405897)"
Nevada,,603485,207966,207966,,2017,9,2016,12,"Nevada
(39.491833, -117.070159)"
Hawaii,,319170,112204,20911,91293,2017,9,2016,12,"Hawaii
(21.30992, -157.858158)"
Montana,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016.",225413,68027,68027,,2017,9,2016,12,"Montana
(47.062617, -109.430168)"
Massachusetts,,1863779,387201,,387201,2017,9,2016,12,"Massachusetts
(42.268546, -72.085064)"
Texas,,4370715,,,,2017,9,2016,12,"Texas
(31.827233, -99.423022)"
Illinois,,2845068,669525,633988,35537,2017,9,2016,12,"Illinois
(40.477092, -88.993221)"
Louisiana,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016.",1621257,376668,376668,,2017,9,2016,12,"Louisiana
(31.2931, -92.463284)"
South Dakota,,107776,,,,2017,9,2016,12,"South Dakota
(44.35371, -100.373709)"
Rhode Island,,295526,65749,65749,,2017,9,2016,12,"Rhode Island
(41.707447, -71.522488)"
Pennsylvania,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015.",2824584,776319,733629,42690,2017,9,2016,12,"Pennsylvania
(40.789676, -77.858055)"
Washington,,1847025,619524,605472,14052,2017,9,2016,12,"Washington
(47.517368, -120.467672)"
Wisconsin,,1185344,,,,2017,9,2016,12,"Wisconsin
(44.395526, -89.834513)"
California,Awaiting state reporting/enrollment reasonableness review in progress,11918569,3751905,3751905,0,2017,9,2016,12,"California
(37.640735, -121.002435)"
Virginia,,999487,,,,2017,9,2016,12,"Virginia
(37.542699, -78.45822)"
Guam,,35164,3441,,3441,2017,9,2016,12,"Guam
(13.3532, 144.653198)"
District of Columbia,,247129,125945,78375,47570,2017,9,2016,12,"District of Columbia
(38.892062, -77.019912)"
Colorado,,1343704,452872,450632,2240,2017,9,2016,12,"Colorado
(38.841772, -106.132562)"
Oklahoma,,679311,,,,2017,9,2016,12,"Oklahoma
(35.468494, -97.521264)"
Utah,,323597,,,,2017,9,2016,12,"Utah
(39.359772, -111.584173)"
Vermont,,183769,57817,,57817,2017,9,2016,12,"Vermont
(43.622479, -72.51927)"
Missouri,,255810,,,,2017,9,2016,10,"Missouri
(38.636168, -92.566292)"
