State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Percentile 25th,Percentile 75th,Notes,Source,Location
Iowa,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,CHIP only,Administrative,0,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,Medicaid only,Administrative,17.9,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,Medicaid only,Administrative,39.1,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,CHIP only,Administrative,13.9,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,CHIP only,Administrative,37.3,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17 [Lower rates are better],2016,Medicaid only,Administrative,3.1,32,3,4.8,1.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17 [Lower rates are better],2016,CHIP only,Administrative,0,32,3,4.8,1.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,56.2,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,79.3,42,68,56.5,77.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,CHIP only,Administrative,47.2,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
