destination,total,tourBusiTrav,tourBusiOthr,studExchVstr,tempWorkFmly,dplmReps,other,unknown
Total,76786751,23132817,45995616,2528990,3896674,438725,745001,48928
Alabama,172285,51348,86546,13684,16437,2535,1656,79
Alaska,132857,58575,62398,3701,5386,771,1960,66
Arizona,1873757,159230,1568629,39124,96688,5757,3799,530
Arkansas,134363,16155,94169,8364,14573,599,456,47
California,12537021,3413268,8038007,421406,578746,33525,46536,5533
Colorado,689269,176265,438288,28761,40632,3173,1813,337
Connecticut,298926,83931,150163,29835,32631,1249,902,215
Delaware,61961,14313,32788,6976,6684,752,400,48
District of Columbia,576000,176013,274873,31834,22745,68833,1495,207
Florida,12271450,3320805,8253310,171624,388523,25163,105392,6633
Georgia,899618,248272,512656,40486,86487,7199,3999,519
Guam,1379719,1250028,105830,2847,10380,1436,1040,8158
Hawaii,3150997,2037332,1048796,20720,32166,6656,4916,411
Idaho,59309,16826,28757,6027,6768,673,210,48
Illinois,1693877,480686,983901,96100,121719,5677,5001,793
Indiana,257829,60062,134983,36236,25054,520,848,126
Iowa,93605,19039,48451,15070,10137,518,338,52
Kansas,117860,18009,75637,12054,10238,1466,392,64
Kentucky,133336,33919,66432,10031,22086,322,427,119
Louisiana,399583,106066,242234,14376,27854,1407,7489,157
Maine,96325,31764,41916,11097,10315,477,657,99
Maryland,502161,119892,279631,38510,32020,28500,3202,406
Massachusetts,1525968,526336,732364,161417,94206,5735,5014,896
Michigan,823619,185679,413670,65754,151665,1764,4455,632
Minnesota,330758,82092,191800,24394,30199,699,1318,256
Mississippi,54117,10031,28463,4652,9802,661,486,22
Missouri,203157,40463,116432,25223,19174,1027,765,73
Montana,58749,22673,27435,5029,3221,108,201,82
Nebraska,585880,204580,334905,17798,24378,2776,1289,154
Nevada,2797238,850201,1867622,18768,51307,4641,4067,632
New Hampshire,83815,32051,33593,10334,7325,192,266,54
New Jersey,1418966,401243,806706,60138,137595,5624,6654,1006
New Mexico,369908,24731,326077,7360,7974,3109,558,99
New York,9351711,4081347,4355988,336331,454488,88715,29850,4992
North Carolina,493951,126700,259772,34736,68309,2128,1950,356
North Dakota,39228,9092,20599,4344,4896,102,142,53
Ohio,431137,100317,220276,49749,57511,1661,1397,226
Oklahoma,136471,18401,93631,13449,9420,1049,471,50
Oregon,320189,100188,170707,23057,24066,597,1336,238
Pennsylvania,689928,192431,340747,84637,63808,2659,5255,391
Puerto Rico,231604,70058,145839,2746,7970,717,4090,184
Rhode Island,74320,20562,35796,10932,5605,977,381,67
South Carolina,203365,55635,108081,13083,23838,1182,1442,104
South Dakota,21302,5675,9756,3086,2462,213,99,11
Tennessee,308490,78310,179540,17009,31839,611,1045,136
Texas,6029795,655252,4790913,145896,376503,21848,36400,2983
Utah,244728,74161,139915,14516,14228,1033,727,148
Vermont,61868,26439,23646,6289,5120,140,154,80
Virginia,643510,156688,346736,47941,48650,40165,2942,388
Washington,1390331,450571,748906,63346,103700,12181,9914,1713
West Virginia,23915,5244,10287,6037,2051,183,98,15
Wisconsin,214704,55644,112246,25126,20435,457,686,110
Wyoming,29972,10812,14110,3002,1829,119,89,11
Other,164685,60826,89973,2069,10957,193,577,90
Unknown,9897264,2506586,6330690,161879,423874,38251,427955,8029
